연도,시도,학제,위험도_pct,위험도_점수
2022,전북,고,7.844872038586045,37.55
2023,전북,고,8.74243583989225,42.47
2024,전북,고,10.446821623283125,51.82
2012,전북,중,3.3219083967278324,12.73
2013,전북,중,3.7537634653997998,15.1
2014,전북,중,3.6695527186425108,14.64
2015,전북,중,4.030982179159265,16.62
2016,전북,중,4.25979364904394,17.88
2017,전북,중,4.504713059739252,19.22
2018,전북,중,4.8071871367884915,20.88
2019,전북,중,5.1010750133692415,22.49
2020,전북,중,5.84404946464541,26.57
2021,전북,중,6.2269773825887,28.67
2022,전북,중,6.909939237899463,32.42
2023,전북,중,7.501449496951384,35.66
2024,전북,중,7.980467129972549,38.29
2012,제주,고,1.5559655023874222,3.04
2013,제주,고,1.321169794645003,4.31
2014,제주,고,2.577664016417123,8.65
2015,제주,고,2.673277576041303,9.17
2016,제주,고,2.4930284545473294,8.18
2017,제주,고,3.226286846734901,12.2
2018,제주,고,3.4194862509736685,13.26
2019,제주,고,5.0486628025955005,22.21
2020,제주,고,5.014521715035537,22.02
2021,제주,고,6.599439093268209,30.71
2021,제주,고,6.51183440907578,30.23
2022,제주,고,8.518808640304483,41.25
2023,제주,고,10.496330402763796,52.09
2024,제주,고,12.763253807196174,64.53
2012,제주,중,2.4021711638255674,7.68
2013,제주,중,2.8233893258640914,9.81
2014,제주,중,3.0631272584016123,11.31
2015,제주,중,3.2800038783003505,12.5
2016,제주,중,3.5561426968308343,14.01
2017,제주,중,3.850856503937185,15.63
2018,제주,중,3.8208643508765663,15.47
2019,제주,중,4.675938900513313,20.16
2020,제주,중,5.511127624797663,24.74
2021,제주,중,6.1512401205765,28.25
2021,제주,중,6.160902067271599,28.31
2022,제주,중,7.266042964542601,34.37
2023,제주,중,7.897822731456876,37.84
2024,제주,중,9.216270828527986,45.07
2012,충남,고,1.6210620536943112,3.4
2013,충남,고,2.2291324577729483,6.73
2014,충남,고,2.1102564536627186,6.08
2015,충남,고,3.3827449914961876,13.06
2016,충남,고,3.5845066331523086,14.17
2017,충남,고,3.3577981247824615,12.93
2018,충남,고,4.292153040896942,18.05
2019,충남,고,5.899940622278821,26.88
2020,충남,고,8.135468970503732,39.14
2021,충남,고,9.811484571289125,48.33
2022,충남,고,12.952857960377349,65.57
2023,충남,고,15.912484877835041,81.81
2024,충남,고,19.092520341828784,99.26
2012,충남,중,2.4173004243687792,7.76
2013,충남,중,2.7878013686343577,9.8
2014,충남,중,2.84485096028485,10.11
2015,충남,중,3.514287492171855,13.78
2016,충남,중,3.976988094263228,16.32
2017,충남,중,4.00100174971892,16.46
2018,충남,중,5.1674470120604274,22.85
2019,충남,중,6.4573266276794605,29.93
2020,충남,중,7.610566122324207,36.26
2021,충남,중,8.640475297081768,41.91
2022,충남,중,10.006954612637243,49.41
2023,충남,중,11.818665015980136,59.35
2024,충남,중,13.54247821517587,68.81
2012,충북,고,1.1955796058138397,1.06
2013,충북,고,1.6026660265686639,3.3
2014,충북,고,2.0034633373347095,5.49
2015,충북,고,2.4489079058583534,7.94
2016,충북,고,2.7815755035807768,9.77
2017,충북,고,3.175189513544755,11.92
2018,충북,고,4.586681638801376,19.67
2019,충북,고,5.440891696679918,24.36
2020,충북,고,6.222702826734169,28.65
2021,충북,고,7.836286045444856,37.5
2022,충북,고,10.323513389306829,51.15
2023,충북,고,11.822716460253375,59.37
2024,충북,고,15.131226094711154,77.53
2012,충북,중,2.7960845397976137,9.84
2013,충북,중,2.897075084713013,10.4
2014,충북,중,3.20078708031184,12.07
2015,충북,중,3.260004044797598,12.39
2016,충북,중,3.652254639069933,14.54
2017,충북,중,4.155476683723354,17.3
2018,충북,중,4.72732423022812,20.44
2019,충북,중,5.446460087382937,24.38
2020,충북,중,6.894858072286717,32.33
2021,충북,중,7.412227705333031,35.17
2022,충북,중,8.33812070259058,40.25
2023,충북,중,9.342192106347493,45.76
2024,충북,중,10.622588326141633,52.79
