연도,시도,총학생수,총학급수,특수학급수,학급당_학생수,특수학급_비율,총학업중단자,총학생수_기준,학업중단률,학업중단률_중,학업중단률_고,자퇴_합계,전출_합계,전입_합계,순전출,다문화학생_합계,중도입국_합계,해외출국_합계,학생1인당_교지면적_평균,학생1인당_건물면적_평균,다문화학생_비율,중도입국_비율,해외출국_비율,자퇴_비율,proxy_index,GRDP_1인당,사교육_참여율,사교육_참여율_초,사교육_참여율_중,사교육_참여율_고,사교육비_1인당_만원,교원1인당_학생수,미달률_고_실측,미달률_중_실측,미달률_평균_실측,전국_미달률_중,전국_미달률_고,전국_미달률_평균,proxy_index_old,proxy_index_source,proxy_risk_pct,proxy_risk_score,proxy_index_v3,학력향상_원,누리과정_원,다문화이탈주민_원,돌봄교실_원,세출액,학력향상_세출비중,학력향상_억원,누리과정_세출비중,누리과정_억원,다문화이탈주민_세출비중,다문화이탈주민_억원,돌봄교실_세출비중,돌봄교실_억원,학력향상_학생당_천원,누리과정_학생당_천원,다문화이탈주민_학생당_천원,돌봄교실_학생당_천원
2022,경남,367073,16800,881,21.85,5.244,1959.0,370341.0,0.529,0.3,1.3,1090,13367,12139,1228,12893,472,246,44.18198272199189,20.17997163819573,3.512,0.1286,0.067,0.2969,52.02,36501.0,75.3,81.8,73.0,63.4,31.1,13.02,,,,11.1,10.766666666666666,10.933333333333334,15.78,위험도합성지수(Ridge),5.111,52.02,11.301,32792320000.0,271381672430.0,3810475440.0,20543842770.0,6049568885000.0,0.5420604446923328,327.9232,4.485967142268519,2713.8167243,0.06298755353374243,38.1047544,0.3395918479569474,205.4384277,89.33460101941576,739.3125411839061,10.38070204019364,55.966640886145264
2023,경남,361744,16917,937,21.38,5.539,2401.0,367073.0,0.654,0.4,1.6,1324,10857,9865,992,13455,532,306,44.57595536217576,20.505089957831743,3.719,0.1471,0.0846,0.366,58.9,36501.0,74.9,81.8,74.0,61.5,32.4,12.75,,,,9.366666666666667,11.300000000000002,10.333333333333336,30.84,위험도합성지수(Ridge),5.677,58.9,10.681,42708705000.0,232591240030.0,3816873670.0,23822435690.0,7186590606000.0,0.5942832608878958,427.08705,3.2364615264964764,2325.9124003,0.05311104916444436,38.1687367,0.331484524387836,238.2243569,118.06334037330267,642.9719360376398,10.55131161816091,65.85440446835331
2024,경남,355074,16816,975,21.12,5.798,2631.0,361744.0,0.727,0.5,1.6,1405,10894,9841,1053,14165,565,377,44.70060553685912,20.71866178801008,3.989,0.1591,0.1062,0.3957,66.07,36501.0,78.4,87.4,76.8,62.7,37.6,12.52,,,,9.999999999999998,9.466666666666669,9.733333333333333,33.08,위험도합성지수(Ridge),6.267,66.07,10.061,20994744000.0,222151175190.0,4751852180.0,13839979320.0,7096900197000.0,0.2958297766238124,209.94744,3.1302564362382843,2221.5117519,0.06695672826297744,47.5185218,0.1950144279308089,138.3997932,59.12779871238108,625.6475416110444,13.382709463379465,38.97773230368881
2012,경북,332449,13039,508,25.5,3.896,2658.0,345747.0,0.769,0.5,1.8,0,15039,13980,1059,2759,84,528,52.457362654446136,16.23262266492257,0.83,0.0253,0.1588,0.0,9.26,35014.0,67.6,81.8,72.9,41.1,19.5,18.99,1.2,1.6000000000000003,1.4,,,,39.07,위험도합성지수(Ridge),1.593,9.26,1.4,,,,,,,,,,,,,,,,,
2013,경북,319383,12760,525,25.03,4.114,2358.0,332449.0,0.709,0.5,1.6,1502,12652,11595,1057,3402,118,300,53.98563403631459,17.001347787287933,1.065,0.0369,0.0939,0.4703,16.33,36533.0,64.3,80.5,67.2,38.7,18.7,18.21,1.5666666666666669,2.1333333333333333,1.85,,,,57.51,위험도합성지수(Ridge),2.175,16.33,1.85,9948490820.0,,,,3458080000000.0,0.28768827846666356,99.4849082,,,,,,,31.149093157744776,,,
2014,경북,308753,12634,538,24.44,4.258,2091.0,319383.0,0.655,0.5,1.4,1293,10690,9613,1077,4221,131,383,56.96159950457897,18.06995311517083,1.367,0.0424,0.124,0.4188,19.97,38742.0,64.5,80.3,70.1,37.0,19.1,17.55,1.95,2.55,2.25,,,,50.55,위험도합성지수(Ridge),2.474,19.97,2.25,6059238040.0,,,,3668100000000.0,0.16518737329952837,60.5923804,,,,,,,19.624871790719443,,,
2015,경북,297562,12596,556,23.62,4.414,1778.0,308753.0,0.576,0.4,1.2,1098,10776,9567,1209,5461,179,358,58.92039324933459,18.76909510977849,1.835,0.0602,0.1203,0.369,25.34,38510.0,64.5,79.4,70.0,38.2,19.0,16.97,2.333333333333333,2.9666666666666663,2.65,3.533333333333333,4.166666666666667,3.85,42.28,위험도합성지수(Ridge),2.916,25.34,2.65,4769017340.0,,,,3566890000000.0,0.1337023945229598,47.6901734,,,,,,,16.026970312069416,,,
2016,경북,286749,12450,556,23.03,4.466,1616.0,297562.0,0.543,0.4,1.1,942,9661,9134,527,6576,208,378,60.97085678938789,19.77756760108791,2.293,0.0725,0.1318,0.3285,30.55,40040.0,64.0,82.3,63.5,37.9,19.3,16.54,2.4,3.6666666666666665,3.033333333333333,3.633333333333333,4.533333333333333,4.083333333333333,39.47,위험도합성지수(Ridge),3.345,30.55,3.033,3676476130.0,,,,3931960000000.0,0.09350237871188924,36.7647613,,,,,,,12.82123435478415,,,
2017,경북,278474,12368,555,22.52,4.487,1711.0,286749.0,0.597,0.4,1.3,1062,9813,9712,101,7344,222,272,62.60568304912954,20.67006091765028,2.637,0.0797,0.0977,0.3814,36.29,41130.0,67.3,81.0,69.1,45.4,20.6,16.05,,,,4.3,6.333333333333333,5.316666666666666,37.03,위험도합성지수(Ridge),3.817,36.29,3.809,3914811210.0,,,,4428660000000.0,0.08839719486255436,39.1481121,,,,,,,14.058085171326587,,,
2018,경북,270775,12366,579,21.9,4.682,1668.0,278474.0,0.599,0.4,1.3,1039,10212,9127,1085,8191,226,283,65.14908668934594,22.05669163782101,3.025,0.0835,0.1045,0.3837,41.94,40677.0,67.7,80.4,66.6,47.6,21.4,15.52,,,,6.933333333333334,6.666666666666667,6.800000000000001,34.24,위험도합성지수(Ridge),4.282,41.94,4.871,5487522550.0,,,,4433980000000.0,0.12376065182973311,54.8752255,,,,,,,20.26598670482873,,,
